id,dataset,k=2,k=3,k=4,
77,sat_enc1_opt2_12,0.263,0.408,0.679,
78,sat_enc1_opt2_12_p,0.212,0.356,0.717,
79,sat_enc1_opt2_16_d,0.113,0.304,0.335,
80,sat_enc1_opt2_16,0.163,0.422,0.456,
81,sat_enc1_opt2_16_p,0.188,0.351,0.597,
82,sat_enc2_opt1_05_d,0.414,0.772,2.813,
83,sat_enc2_opt1_05,0.728,1.03,1.855,
84,sat_enc2_opt1_05_p,0.62,1.364,1.532,
85,sat_enc2_opt1_15_d,0.393,0.871,1.013,
86,sat_enc2_opt1_15,0.629,1.317,1.702,
87,sat_enc2_opt1_15_p,0.514,1.035,1.585,
88,sat_enc3_opt1_50_d,3.312,8.014,9.24,
89,sat_enc3_opt1_50,6.389,11.213,14.319,
90,sat_enc3_opt1_50_p,7.702,14.41,18.535,
91,sat_enc3_opt2_21_d,3.122,5.927,7.544,
92,sat_enc3_opt2_21,5.41,9.378,12.294,
93,sat_enc3_opt2_21_p,6.996,11.312,16.153,
94,sat_enc3_opt2_12_d,2.332,4.642,7.932,
95,sat_enc3_opt2_12,4.365,8.037,11.142,
96,sat_enc3_opt2_12_p,4.207,8.168,9.971,
97,sat_enc3_opt2_14_d,2.426,6.96,8.73,
98,sat_enc3_opt2_14,4.42,7.74,10.533,
99,sat_enc3_opt2_14_p,4.268,8.487,10.91,
100,sat_blocks_d,3.237,5.765,11.732,
101,sat_blocks,10.681,18.862,24.737,
102,sat_blocks_p,13.412,23.089,29.261,
103,sat_bob-opt_d,0.151,0.391,0.487,
104,sat_bob-opt,0.334,0.778,1.267,
105,sat_bob-opt_p,0.518,0.84,1.177,
106,sat_bob_d,0.152,0.26,0.384,
107,sat_bob,0.285,0.656,0.825,
108,sat_bob_p,0.277,0.428,0.718,
109,sat_c10_d,0.319,1.038,1.376,
110,sat_c10,1.395,1.734,3.615,
111,sat_c10_p,0.967,1.443,2.513,
112,sat_count_d,0.139,0.286,0.364,
113,sat_count,0.288,0.441,0.692,
114,sat_count_p,0.207,0.341,0.571,
115,sat_ctl_d,0.085,0.245,0.361,
116,sat_ctl,0.298,0.449,0.762,
117,sat_ctl_p,0.338,0.599,0.75,
118,sat_ctl_5_d,0.191,0.448,0.495,
119,sat_ctl_5,0.474,1.52,1.333,
120,sat_ctl_5_p,1.069,1.366,1.879,
121,sat_dated_11_d,0.522,1.8,1.991,
122,sat_dated_11,0.918,1.342,2.009,
123,sat_dated_11_p,0.735,2.104,1.655,
124,sat_dated_17_d,0.57,2.626,1.548,
125,sat_dated_17,1.381,2.42,3.982,
126,sat_dated_17_p,2.989,3.665,4.406,
127,sat_E02F20_d,0.207,2.554,0.673,
128,sat_E02F20,0.338,0.875,1.043,
129,sat_E02F20_p,0.34,0.898,1.111,
130,sat_E02F22_d,0.743,11.211,9.52,
131,sat_E02F22,0.806,1.648,2.78,
132,sat_E02F22_p,0.812,2.214,2.351,
133,sat_gss-18_d,0.166,0.234,0.301,
134,sat_gss-18,0.427,0.496,0.918,
135,sat_gss-18_p,0.279,0.486,0.71,
136,sat_gss-19_d,0.167,0.231,0.298,
137,sat_gss-19,0.404,0.589,0.967,
138,sat_gss-19_p,0.401,0.796,0.925,
139,sat_gss-20_d,0.144,0.279,0.315,
140,sat_gss-20,0.494,0.567,1.141,
141,sat_gss-20_p,0.414,0.686,0.782,
142,sat_gss-22_d,0.182,0.481,0.319,
143,sat_gss-22,0.359,0.802,0.803,
144,sat_gss-22_p,0.478,0.497,0.973,
145,sat_k45_d,0.708,1.009,1.342,
146,sat_k45,0.472,1.11,1.678,
147,sat_k45_p,0.408,0.872,1.249,
148,sat_itox_d,0.434,1.037,1.881,
149,sat_itox,0.869,1.496,2.666,
150,sat_itox_p,0.865,1.708,2.69,
151,sat_k2fix_d,0.327,0.624,1.462,
152,sat_k2fix,0.318,0.734,0.826,
153,sat_k2fix_p,0.769,1.093,1.926,
154,sat_manol_c10_i_d,0.597,1.127,1.277,
155,sat_manol_c10_i,2.324,5.062,4.661,
156,sat_manol_c10_i_p,2.859,3.333,4.805,
157,sat_manol_c10_d,1.507,2.285,3.972,
158,sat_manol_c10,5.559,7.676,9.223,
159,sat_manol_c10_p,2.918,5.753,7.468,
160,sat_manol_c8_d,0.474,1.24,1.965,
161,sat_manol_c8,1.268,3.466,4.497,
162,sat_manol_c8_p,3.195,2.58,4.762,
163,sat_manol_g10_i_d,0.705,1.824,1.527,
164,sat_manol_g10_i,2.543,4.931,5.796,
165,sat_manol_g10_i_p,2.039,3.685,4.792,
166,sat_MD5-28-1_d,0.201,0.334,0.356,
167,sat_MD5-28-1,0.384,0.651,0.659,
168,sat_MD5-28-1_p,0.317,0.427,0.525,
169,sat_MD5-28-2_d,0.216,0.74,0.888,
170,sat_MD5-28-2,0.434,0.568,0.787,
171,sat_MD5-28-2_p,0.306,0.477,0.674,
172,sat_MD5-28-4_d,0.198,0.335,0.394,
173,sat_MD5-28-4,0.432,0.587,0.823,
174,sat_MD5-28-4_p,0.272,0.424,0.552,
175,sat_MD5-29-4_d,0.188,0.345,0.897,
176,sat_MD5-29-4,0.337,0.488,0.742,
177,sat_MD5-29-4_p,0.374,0.58,0.7,
178,sat_MD5-30-4_d,0.225,0.398,0.864,
179,sat_MD5-30-4,0.415,0.49,0.677,
180,sat_MD5-30-4_p,0.34,0.446,0.746,
181,sat_MD5-30-5_d,0.227,0.304,0.477,
182,sat_MD5-30-5,0.274,0.663,0.928,
183,sat_MD5-30-5_p,0.387,0.476,0.821,
184,sat_min_d,0.854,1.289,2.297,
185,sat_min,1.318,1.971,3.342,
186,sat_min_p,1.189,2.843,2.977,
187,sat_p30_d,0.882,3.748,2.238,
188,sat_p30,1.597,3.826,5.728,
189,sat_p30_p,2.642,4.385,6.155,
190,sat_p30_NOT_d,0.384,0.812,1.395,
191,sat_p30_NOT,1.314,1.654,2.753,
192,sat_p30_NOT_p,1.404,2.152,3.807,
193,sat_non_p30_d,0.847,3.709,2.24,
194,sat_non_p30,1.599,3.824,5.742,
195,sat_non_p30_p,2.654,4.366,6.163,
196,sat_post_d,0.844,1.778,2.043,
197,sat_post,1.509,2.119,3.887,
198,sat_post_p,1.739,3.205,3.944,
199,sat_post-ee_d,0.787,1.775,2.044,
200,sat_post-ee,1.258,2.029,3.533,
201,sat_post-ee_p,1.16,2.243,2.854,
202,sat_L100_d,2.066,3.198,7.636,
203,sat_L100,3.314,7.847,11.695,
204,sat_L100_p,5.922,6.626,13.373,
205,sat_L150_d,4.857,9.914,17.915,
206,sat_L150,5.445,16.125,37.046,
207,sat_L150_p,20.541,12.312,37.244,
208,sat_L200_d,4.415,6.521,8.061,
209,sat_L200,7.723,28.786,31.269,
210,sat_L200_p,34.545,21.716,48.394,
211,sat_L80_d,1.152,6.481,2.731,
212,sat_L80,2.238,5.319,8.392,
213,sat_L80_p,4.107,5.385,12.009,
214,sat_k100_1d,2.747,5.688,20.654,
215,sat_k100_1,5.266,9.932,12.313,
216,sat_k100_1p,6.551,7.882,20.611,
217,sat_k100_2d,2.766,5.455,6.922,
218,sat_k100_2,5.525,9.246,12.701,
219,sat_k100_2p,4.621,8.238,10.619,
220,sat_k70_d,1.858,3.526,7.656,
221,sat_k70,4.193,7.633,9.614,
222,sat_k70_p,3.113,5.762,15.348,
223,sat_k75_d,1.955,3.677,5.236,
224,sat_k75,4.086,7.755,9.712,
225,sat_k75_p,3.427,6.001,8.08,
226,sat_k80_d,1.985,4.452,5.911,
227,sat_k80,4.651,7.922,10.307,
228,sat_k80_p,3.532,6.561,8.934,
229,sat_k85_2d,2.195,4.447,5.857,
230,sat_k85_2,4.633,8.108,11.038,
231,sat_k85_2p,3.595,6.858,9.011,
232,sat_k85_3d,2.231,4.332,5.985,
233,sat_k85_3,4.653,8.159,10.899,
234,sat_k85_3p,3.601,6.808,9.001,
235,sat_k90_d,2.396,4.714,6.335,
236,sat_k90,4.747,8.856,11.514,
237,sat_k90_p,3.902,7.423,10.693,
238,sat_k95_d,2.388,4.907,19.077,
239,sat_k95,5.297,9.22,14.756,
240,sat_k95_p,4.14,7.914,10.266,
241,sat_slp_d,0.549,1.159,1.384,
242,sat_slp,1.025,2.508,2.544,
243,sat_slp_p,2.023,1.699,4.264,
244,sat_030_d,1.77,2.314,3.653,
245,sat_030,5.696,12.523,10.728,
246,sat_030_p,6.602,9.55,14.692,
247,sat_050_d,1.855,3.243,8.31,
248,sat_050,6.579,17.019,20.136,
249,sat_050_p,4.102,11.593,11.792,
250,sat_UCG-10p0_d,0.699,2.224,2.704,
251,sat_UCG-10p0,1.252,2.103,2.979,
252,sat_UCG-10p0_p,1.64,2.306,3.19,
253,sat_UCG-10p1_d,0.607,1.749,3.449,
254,sat_UCG-10p1,1.172,1.876,2.932,
255,sat_UCG-10p1_p,1.146,3.197,2.699,
256,sat_UCG-5p0_d,0.729,1.128,2.942,
257,sat_UCG-5p0,1.745,2.893,3.428,
258,sat_UCG-5p0_p,1.631,2.604,3.24,
259,sat_UR-15_d,0.661,1.174,1.643,
260,sat_UR-15,1.583,4.467,3.43,
261,sat_UR-15_p,1.843,2.912,3.645,
262,sat_UR-20_d,0.719,1.367,2.439,
263,sat_UR-20,1.874,2.774,4.58,
264,sat_UR-20_p,1.968,4.097,4.226,
265,sat_UTI_d,1.161,1.892,2.851,
266,sat_UTI,1.335,2.295,3.4,
267,sat_UTI_p,1.392,2.231,3.34,
268,sat_2.0_d,1.081,2.16,6.23,
269,sat_2.0,9.921,19.774,23.018,
270,sat_2.0_p,8.427,16.001,18.091,
271,sat_4.0-9_d,1.161,1.681,15.767,
272,sat_4.0-9,6.819,11.29,11.043,
273,sat_4.0-9_p,10.111,13.031,19.281,
274,192bit,0.519,0.307,0.617,
275,2cubes,0.421,0.906,0.908,
276,2D,0.155,0.401,0.547,
277,3D,0.986,2.898,2.045,
278,ABACUS,0.114,0.262,0.27,
279,af23560,0.076,0.144,0.201,
280,af_shell,0.549,1.162,1.564,
281,airfoil,0.065,0.175,0.287,
282,Andrews,0.299,0.516,0.953,
283,appu,0.194,0.143,0.289,
284,as-22,0.243,0.293,0.48,
285,astro,0.76,0.383,1.194,
286,atmos,3.583,5.408,6.833,
287,av41092,0.268,0.544,0.587,
288,barrier,0.379,0.696,1.132,
289,Baumann,0.306,0.469,1.424,
290,bayer04,0.086,0.156,0.247,
291,bbmat,0.165,0.382,0.436,
292,bcsstk,0.065,0.197,0.354,
293,Ben,0.388,0.711,1.195,
294,bibd,0.048,0.131,0.105,
295,bips,0.121,0.182,0.262,
296,bloweya,0.412,0.716,0.8,
297,bundle,0.089,0.215,0.188,
298,c-55,0.385,0.592,0.992,
299,c-61,0.128,0.334,0.681,
300,c-64,0.297,0.502,1.695,
301,CondMat,0.612,0.834,0.874,
302,cage10,0.158,0.241,0.354,
303,ccc,0.156,0.425,0.573,
304,cfd,0.241,0.525,0.745,
305,Chem97Zt,0.009,0.061,0.037,
306,circuit,0.266,0.508,0.911,
307,ckt,0.25,0.461,0.702,
308,cnr,0.284,0.675,1.273,
309,conf5_4,0.176,0.364,0.434,
310,copter,0.095,0.144,0.364,
311,coupled,0.073,0.257,0.3,
312,crash,0.357,1.371,1.028,
313,cryg,0.07,0.212,0.204,
314,crystk,0.057,0.175,0.205,
315,d_pretok,0.425,0.779,1.632,
316,dac11,1.059,2.166,2.869,
317,dac14,0.816,3.066,3.288,
318,dac16,1.275,2.1,2.563,
319,dac2,1.768,3.169,3.925,
320,dac3,1.814,3.399,3.565,
321,dac6,1.438,2.804,5.37,
322,dac7,1.367,2.68,4.272,
323,delta,0.324,0.506,0.781,
324,denormal,0.233,0.395,0.599,
325,dict,0.195,0.966,1.018,
326,diel,1.172,2.49,4.713,
327,cova2,0.115,0.219,0.59,
328,ecl32,0.602,0.452,0.917,
329,Emilia,2.951,4.218,6.168,
330,epb1,0.078,0.142,0.298,
331,ESOC,1.776,11.447,3.123,
332,Eternity,0.144,0.782,1.511,
333,ex19,0.043,0.118,0.204,
334,F2,0.238,0.37,0.637,
335,fd18,0.391,0.475,0.564,
336,fem,0.234,0.458,0.639,
337,finan,0.382,0.284,0.423,
338,flower,0.293,1.169,1.248,
339,foldoc,0.448,0.563,0.894,
340,Franz,0.774,1.676,1.243,
341,G2,0.8,1.361,1.654,
342,g7jac,0.091,0.214,0.324,
343,garon,0.06,0.14,0.553,
344,gearbox,0.421,0.647,0.918,
345,gemat,0.123,0.114,0.17,
346,graphics,0.14,0.263,0.509,
347,gyro,0.053,0.124,0.317,
348,H2O,0.337,0.536,0.954,
349,HEP,1.465,0.916,1.713,
350,HTC,0.359,0.703,1.006,
351,hvdc1,0.074,0.125,0.278,
352,IG5,0.137,0.287,1.102,
353,Ill,0.163,0.314,0.421,
354,interp,0.309,0.657,1.05,
355,IMDB,8.91,6.204,11.056,
356,ibm01,0.138,0.258,0.365,
357,ibm02,0.247,0.26,0.76,
358,ibm03,0.191,0.327,0.426,
359,ibm04,0.197,0.295,0.526,
360,ibm05,0.261,1.052,0.54,
361,ibm06,0.177,0.69,0.503,
362,ibm07,0.193,0.368,0.751,
363,ibm08,0.274,0.705,0.66,
364,ibm09,0.2,1.018,0.509,
365,ibm10,0.286,0.539,1.014,
366,ibm11,0.341,0.498,0.744,
367,ibm12,0.368,1.179,1.112,
368,ibm13,0.224,0.644,0.752,
369,ibm14,0.537,1.152,1.541,
370,ibm15,1.308,1.264,2.255,
371,ibm16,0.529,0.982,1.098,
372,kim1,0.099,0.301,0.335,
373,kkt,7.581,11.294,15.885,
374,duct3D,0.175,0.359,0.772,
375,lhr14,0.046,0.072,0.158,
376,li,0.163,0.316,0.387,
377,tissue,0.066,0.197,0.533,
378,Lin,0.604,1.272,1.762,
379,lp_nug,0.336,0.248,0.45,
380,lp_pds,0.335,0.996,0.631,
381,lung,0.091,0.202,0.3,
382,m14b,0.507,1.101,1.253,
383,mac,0.382,0.688,1.156,
384,Maragal,0.371,0.319,0.53,
385,mc2depi,0.604,1.226,1.689,
386,mixtank,0.123,0.239,1.249,
387,mono,0.502,1.098,1.223,
388,mri1,0.262,0.566,0.719,
389,msc,0.07,0.388,0.433,
390,msdoor,0.474,0.956,1.382,
391,mult_dcop,0.684,1.206,1.296,
392,nasasrb,0.351,0.455,0.838,
393,nd12k,0.28,0.391,0.781,
394,net100,0.236,0.478,1.475,
395,nopoly,0.073,0.117,0.18,
396,actors,1.986,2.828,2.742,
397,www,0.245,0.545,2.448,
398,obstclae,0.14,0.278,0.447,
399,olafu,0.085,0.171,0.28,
400,opt1,0.072,0.153,0.473,
401,Oregon,0.382,0.454,1.102,
402,p2p,1.078,0.53,1.114,
403,para,0.406,1.219,1.023,
404,parabolic,0.621,1.291,1.635,
405,Pd,0.093,0.181,0.187,
406,pdb,0.159,0.264,0.355,
407,pds,0.466,0.775,2.234,
408,pesa,0.132,0.169,0.268,
409,PGP,0.093,0.173,0.208,
410,pkustk,0.139,0.476,0.542,
411,poisson3D,0.423,0.544,1.905,
412,poli3,0.037,0.066,0.092,
413,powersim,0.047,0.138,0.178,
414,pre2,1.269,1.677,3.022,
415,Pres,0.071,0.14,0.255,
416,psse2,0.126,0.231,0.328,
417,qa8fk,0.294,0.577,0.908,
418,rajat,0.983,0.358,1.195,
419,Reuters,0.304,1.075,0.488,
420,RFdevice,0.277,0.545,0.989,
421,rgg,0.352,0.662,1.008,
422,rim,0.054,0.213,0.767,
423,rma,0.122,0.262,0.355,
424,Rucci,5.062,7.921,9.741,
425,s4dkt,0.29,0.468,0.56,
426,scfxm,0.239,0.28,0.418,
427,scircuit,0.276,0.61,0.857,
428,shallow,0.156,0.432,0.562,
429,sherman,0.449,0.72,0.855,
430,ship,0.113,0.246,0.334,
431,shock,0.397,0.57,0.919,
432,shyy,0.229,0.487,0.738,
433,skirt,0.074,0.117,0.177,
434,sme3D,0.098,0.681,0.344,
435,soc-sign,7.784,1.276,10.946,
436,sparsine,0.338,0.666,1.222,
437,spmsrtls,0.136,0.226,0.241,
438,std1_Jac3,0.114,0.276,0.399,
439,stokes,0.143,0.287,0.413,
440,ted_A,0.035,0.061,0.109,
441,TF16,0.178,0.606,0.898,
442,thermal,0.151,0.348,0.62,
443,therm,0.193,0.369,0.643,
444,tmt,1.371,2.665,3.596,
445,tomogra,0.239,1.877,0.592,
446,torso,0.604,1.105,1.496,
447,Trec,0.114,0.207,0.253,
448,Trefe,0.246,0.326,0.344,
449,TSOPF,0.159,0.475,0.321,
450,us04,0.019,0.125,0.294,
451,usroads,0.295,0.443,0.751,
452,venkat,0.171,0.289,0.418,
453,vibro,0.201,0.198,0.395,
454,plastic,0.133,0.541,0.637,
455,rocks,0.114,0.18,0.558,
456,wave3D,0.173,0.22,0.342,
457,wathen120,0.149,0.295,0.381,
458,water,0.394,0.623,0.733,
459,wang4,0.196,0.407,0.501,
460,xenon,0.485,0.764,1.592,
461,Zhao,0.21,0.377,0.393,
462,G67,0.1,0.273,0.247,
463,af101,1.61,2.712,3.189,
464,eco1,1.592,2.826,4.046,
465,ibm18,0.401,0.854,2.368,
466,ibm17,0.633,0.883,2.309,
467,web1M,0.617,1.137,1.649,
468,nl120,9.629,17.762,23.712,
469,sat_p,31.445,46.451,81.669,
470,wbedu,21.701,22.721,88.376,
471,Stanf,0.303,0.722,1.018,
472,gene2,0.397,0.991,0.524,
473,Hamr3,1.661,2.798,3.9,
474,StocF,2.651,5.012,11.958,
475,lang,2.235,3.341,3.807,
476,kron,3.358,6.083,6.14,
477,case39,0.856,0.535,0.983,
478,dac9,1.039,1.817,2.426,
479,dac12,1.513,3.289,5.483,
480,dac19,1.147,1.618,2.376,
481,tran4,0.978,1.587,4.83,
482,Cheb4,0.462,0.625,0.737,
483,sat_d,11.416,18.654,69.114,
484,HV15R,7.897,16.421,25.999,
485,gupta2,0.337,1.154,1.31,
486,ASIC,45.223,35.721,60.629,
487,ASIC320k,8.256,12.742,15.417,
488,wiki-Talk,5.563,96.06,197.048,
489,com-Youtube,12.25,17.61,58.915,
490,Freescal,2.879,5.32,7.09,
491,roadNet-CA,1.621,2.932,4.184,
492,delaunay23,8.461,15.478,20.869,
493,coPapersDBLP,4.141,48.845,6.471,
494,dc1,1.013,1.591,4.806,
495,channel,10.294,18.102,24.535,
496,as-Skitter,10.998,39.157,17.591,
497,ASIC_100k,3.156,4.65,5.79,
498,dc2,0.982,1.58,4.789,
499,tran5,0.972,1.581,4.824,
