id,dataset,k=2,k=3,k=4,hedges
176,sat_MD5-29-4,4354,9485,10025,65312
177,sat_MD5-29-4_p,5177,8700,10332,65312
178,sat_MD5-30-4_d,1286,2186,2659,8905
179,sat_MD5-30-4,5686,9087,11335,68106
180,sat_MD5-30-4_p,4933,12374,10603,68106
181,sat_MD5-30-5_d,1368,2303,2569,8905
182,sat_MD5-30-5,4865,9425,11029,68103
183,sat_MD5-30-5_p,5377,11003,11211,68103
184,sat_min_d,2462,9103,14851,249327
185,sat_min,4353,28151,40261,746444
186,sat_min_p,4753,34540,44676,746444
187,sat_p30_d,3934,4519,8682,324116
188,sat_p30,9572,19210,21870,1643601
189,sat_p30_p,10280,26781,23973,1643601
190,sat_p30_NOT_d,3322,7936,7258,95456
191,sat_p30_NOT,4381,11027,13519,483561
192,sat_p30_NOT_p,9661,14638,19483,483561
193,sat_non_p30_d,3934,4519,8682,324116
194,sat_non_p30,9572,19210,21870,1643601
195,sat_non_p30_p,10280,26781,23973,1643601
196,sat_post_d,3089,4788,7895,276895
197,sat_post,6388,4488,8127,1607567
198,sat_post_p,1983,7466,4886,1607567
199,sat_post-ee_d,1071,2739,3467,266199
200,sat_post-ee,4820,4723,6462,1575975
201,sat_post-ee_p,3935,6041,11318,1575975
202,sat_L100_d,34018,52574,66747,315617
203,sat_L100,73400,99003,168166,1522583
204,sat_L100_p,76911,155502,181716,1522583
205,sat_L150_d,51562,77537,95655,486992
206,sat_L150,121741,189453,256302,2456708
207,sat_L150_p,182673,258778,316389,2456708
208,sat_L200_d,72996,113040,152427,670867
209,sat_L200,166731,315631,394223,3513333
210,sat_L200_p,252687,383894,404742,3513333
211,sat_L80_d,27383,46878,54725,250567
212,sat_L80,87441,111688,137442,1183233
213,sat_L80_p,61474,124830,142953,1183233
214,sat_k100_1d,1305,2858,3154,1621762
215,sat_k100_1,4510,8760,15953,6356704
216,sat_k100_1p,4439,5939,19046,6356704
217,sat_k100_2d,1264,2391,2863,1621756
218,sat_k100_2,4987,8003,9644,6356692
219,sat_k100_2p,7221,12541,16699,6356692
220,sat_k70_d,701,2035,3096,1131652
221,sat_k70,4573,7593,9172,4433524
222,sat_k70_p,5078,12319,14253,4433524
223,sat_k75_d,1285,2166,2896,1213331
224,sat_k75,3945,8227,11515,4754042
225,sat_k75_p,3118,7402,8640,4754042
226,sat_k80_d,730,3866,2764,1295022
227,sat_k80,3452,9336,7579,5074584
228,sat_k80_p,4676,11670,11974,5074584
229,sat_k85_2d,1399,2865,4145,1376701
230,sat_k85_2,6287,8275,12602,5395102
231,sat_k85_2p,3019,7256,12187,5395102
232,sat_k85_3d,1422,2209,3755,1376701
233,sat_k85_3,6287,8275,12602,5395102
234,sat_k85_3p,3019,7256,12187,5395102
235,sat_k90_d,919,2259,5136,1458392
236,sat_k90,1472,4918,8814,5715644
237,sat_k90_p,6670,7119,17083,5715644
238,sat_k95_d,919,2979,3287,1540071
239,sat_k95,6761,13177,15114,6036162
240,sat_k95_p,4954,11569,11473,6036162
241,sat_slp_d,3209,6915,9209,94998
242,sat_slp,5464,10630,23264,302862
243,sat_slp_p,8298,9037,22928,302862
244,sat_030_d,5352,16678,20455,361750
245,sat_030,14025,27733,45007,1934720
246,sat_030_p,15640,42757,50696,1934720
247,sat_050_d,5854,11382,26253,602670
248,sat_050,13197,53825,55289,3224280
249,sat_050_p,73378,84488,148662,3224280
250,sat_UCG-10p0_d,2598,5431,7013,199304
251,sat_UCG-10p0,18806,27992,26087,1005834
252,sat_UCG-10p0_p,21320,31644,36608,1005834
253,sat_UCG-10p1_d,1880,4097,5426,200003
254,sat_UCG-10p1,14758,19526,25240,1019221
255,sat_UCG-10p1_p,19311,24630,29437,1019221
256,sat_UCG-5p0_d,4278,6304,9096,224587
257,sat_UCG-5p0,19662,27789,30402,1190673
258,sat_UCG-5p0_p,22674,36088,40154,1190673
259,sat_UR-15_d,3415,7367,9228,199996
260,sat_UR-15,20703,24431,27751,1019200
261,sat_UR-15_p,24378,30183,40237,1019200
262,sat_UR-20_d,4498,8157,13431,224569
263,sat_UR-20,18080,26821,30857,1190619
264,sat_UR-20_p,29765,38259,44355,1190619
265,sat_UTI_d,336,1075,1573,260342
266,sat_UTI,2429,5711,6949,1391257
267,sat_UTI_p,5909,7134,7848,1391257
268,sat_2.0_d,27639,32780,43806,151669
269,sat_2.0,86725,270039,321533,2465731
270,sat_2.0_p,122396,300890,292578,2465731
271,sat_4.0-9_d,13874,26287,41455,96177
272,sat_4.0-9,103063,216768,208540,1814189
273,sat_4.0-9_p,145333,264618,404854,1814189
274,192bit,12787,20011,25673,13691
275,2cubes,5310,13236,18590,101492
276,2D,2328,3680,3822,54019
277,3D,29313,58450,80138,292008
278,ABACUS,673,697,1066,23412
279,af23560,1018,3411,3254,23560
280,af_shell,5060,6240,9200,504855
281,airfoil,715,671,1452,14214
282,Andrews,6552,11630,12798,60000
283,appu,13983,27984,41943,14000
284,as-22,1257,2112,2676,22963
285,astro,4174,8678,11735,16046
286,atmos,54467,80436,98318,1270432
287,av41092,4744,3288,8080,41092
288,barrier,12467,17662,24790,113076
289,Baumann,3023,7274,8542,112211
290,bayer04,85,203,284,20545
291,bbmat,2088,4392,5029,38744
292,bcsstk,754,1098,2438,13992
293,Ben,2796,6984,8034,245874
294,bibd,1003,1825,2596,1176
295,bips,192,368,466,15066
296,bloweya,6554,9683,10454,30004
297,bundle,3677,4379,6011,10581
298,c-55,7101,14529,16485,32780
299,c-61,6897,10741,12001,43618
300,c-64,990,5789,14485,51035
301,CondMat,5669,10082,13516,23133
302,cage10,2491,5396,6767,11397
303,ccc,621,6084,8107,49152
304,cfd,3961,6278,9530,70656
305,Chem97Zt,61,41,63,2541
306,circuit,1882,2968,3996,12127
307,ckt,176,2616,2459,49702
308,cnr,57,431,438,247501
309,conf5_4,0,9441,16110,49152
310,copter,1156,2150,3883,17222
311,coupled,2549,3818,5409,11341
312,crash,4284,13212,8244,160000
313,cryg,822,453,1082,10000
314,crystk,2460,4059,6123,13965
315,d_pretok,3717,7965,12772,182730
316,dac11,2550,4921,6859,935731
317,dac14,23141,29506,30854,619815
318,dac16,18496,20895,25006,697458
319,dac2,7982,22459,17860,990899
320,dac3,3867,7461,20085,898001
321,dac6,22564,21898,33105,1006629
322,dac7,2631,6639,10755,1340418
323,delta,674,3023,5799,68600
324,denormal,1272,2874,3690,89400
325,dict,0,817,2951,39327
326,diel,20114,23298,38654,607232
327,cova2,1217,2735,4194,65025
328,ecl32,2045,5609,6060,51993
329,Emilia,40923,67782,84078,923136
330,epb1,468,570,930,14734
331,ESOC,171727,293318,406258,327062
332,Eternity,6398,12630,17002,7362
333,ex19,0,593,360,12005
334,F2,1626,3372,6258,71505
335,fd18,772,895,1152,16428
336,fem,5771,8141,12445,74062
337,finan,156,447,407,74752
338,flower,5204,9873,13285,27693
339,foldoc,7360,13266,17234,13356
340,Franz,25297,49398,57412,47104
341,G2,3509,4972,7618,150102
342,g7jac,1387,2004,2296,11790
343,garon,818,1656,1950,13535
344,gearbox,2803,4481,8846,153746
345,gemat,1749,1550,2191,4929
346,graphics,558,1146,1362,29493
347,gyro,321,1095,1032,17361
348,H2O,15071,30889,44322,67024
349,HEP,4411,13602,15340,24541
350,HTC,1983,8955,16291,226340
351,hvdc1,113,285,504,24842
352,IG5,3158,4021,21532,30162
353,Ill,2135,3031,4303,20896
354,interp,5050,5857,6683,232485
355,IMDB,25333,81631,79112,303617
356,ibm01,303,673,1022,14111
357,ibm02,520,591,1643,19584
358,ibm03,1568,2630,3725,27401
359,ibm04,825,1902,2944,31970
360,ibm05,2372,5267,5974,28446
361,ibm06,1758,3465,4162,34826
362,ibm07,1942,2956,4006,48117
363,ibm08,2236,4522,5685,50513
364,ibm09,1128,2770,3139,60902
365,ibm10,2049,2847,4085,75196
366,ibm11,1447,2947,4377,81454
367,ibm12,4194,4361,7276,77240
368,ibm13,1652,2035,3475,99666
369,ibm14,3099,6008,6207,152772
370,ibm15,3981,10250,8367,186608
371,ibm16,5649,5564,8922,190048
372,kim1,1599,2836,4582,38415
373,kkt,19606,32794,47095,2063494
374,duct3D,6182,8212,14654,67173
375,lhr14,174,570,372,14270
376,li,4418,7864,13990,22695
377,tissue,2048,1320,2622,29282
378,Lin,23462,27635,37088,256000
379,lp_nug,12825,24958,33175,15240
380,lp_pds,2458,4278,4861,33798
381,lung,54,93,108,109460
382,m14b,4688,9346,12702,214765
383,mac,750,1104,1963,206500
384,Maragal,2743,4825,6472,21251
385,mc2depi,3150,11084,7680,525825
386,mixtank,4606,12718,12029,29957
387,mono,19333,19810,41920,169410
388,mri1,708,1194,1452,65536
389,msc,2151,3975,5976,10848
390,msdoor,2324,4837,7742,415863
391,mult_dcop,15056,24907,29215,25187
392,nasasrb,1050,2590,3332,54870
393,nd12k,15911,27813,44588,36000
394,net100,17473,34831,47225,29920
395,nopoly,102,164,282,10774
396,actors,12372,26343,28826,383640
397,www,13,796,732,137941
398,obstclae,1980,2234,2461,40000
399,olafu,1029,2164,2601,16146
400,opt1,2743,6416,7072,15449
401,Oregon,696,1027,1632,11174
402,p2p,3767,6925,9286,6221
403,para,12158,18113,25525,153226
404,parabolic,1353,5367,4963,525825
405,Pd,0,0,0,4371
406,pdb,2940,5243,7004,36417
407,pds,1840,6166,8467,142596
408,pesa,186,417,475,11738
409,PGP,665,1195,1420,10680
410,pkustk,3918,8094,11694,87804
411,poisson3D,5452,11945,15288,85623
412,poli3,170,292,525,16955
413,powersim,92,164,296,15838
414,pre2,10846,27617,31279,659033
415,Pres,1056,1586,2426,14822
416,psse2,364,558,500,28634
417,qa8fk,968,5067,8425,66127
418,rajat,40,241,327,51032
419,Reuters,5794,10164,14296,13314
420,RFdevice,2157,5568,7543,74104
421,rgg,1584,2525,3422,262141
422,rim,544,2111,1817,22560
423,rma,1190,1481,3073,46835
424,Rucci,61355,93172,120153,1977885
425,s4dkt,5430,4560,7902,90449
426,scfxm,1105,1566,1867,37980
427,scircuit,213,469,978,170998
428,shallow,794,1753,2119,81920
429,sherman,7025,10648,15385,18510
430,ship,3120,2772,7518,34920
431,shock,407,1206,1581,36476
432,shyy,350,330,2830,76480
433,skirt,60,172,110,12598
434,sme3D,4071,2613,9741,29067
435,soc-sign,1465,11124,12309,95318
436,sparsine,20615,43836,54507,50000
437,spmsrtls,1222,1688,2510,29995
438,std1_Jac3,5132,7070,11441,21982
439,stokes,1306,3526,3277,49666
440,ted_A,324,979,986,10605
441,TF16,5448,12492,17831,15437
442,thermal,458,682,1903,82654
443,therm,927,828,2105,102158
444,tmt,2414,9638,7389,917825
445,tomogra,3752,8367,8312,45908
446,torso,8162,19201,18444,259156
447,Trec,3126,5635,8599,3159
448,Trefe,17867,36113,48429,20000
449,TSOPF,14565,17207,27709,30798
450,us04,150,292,440,163
451,usroads,244,412,792,129164
452,venkat,1008,1816,2160,62424
453,vibro,3734,8329,9840,12328
454,plastic,1760,3193,4508,32769
455,rocks,624,2002,3074,37762
456,wave3D,769,1467,2401,21036
457,wathen120,929,1791,2726,36441
458,water,4670,7363,9952,60740
459,wang4,2637,3410,5731,26068
460,xenon,4499,8086,11236,157464
461,Zhao,1862,2537,3253,33861
462,G67,26,470,505,10000
463,af101,7555,12435,14710,503625
464,eco1,12769,12698,20832,1000000
465,ibm18,4280,5440,8023,201920
466,ibm17,3080,7592,8568,189581
467,web1M,624,3603,3556,1000005
468,nl120,163619,217697,331005,3542400
469,sat_p,380404,732566,1873473,13378010
470,wbedu,10773,65256,119702,6920306
471,Stanf,458,737,1692,261588
472,gene2,13538,25111,40135,14340
473,Hamr3,5866,8104,10982,1447360
474,StocF,7992,34392,24001,1465137
475,lang,36457,48022,59649,399130
476,kron,23448,46574,64475,55321
477,case39,21585,29355,41702,40216
478,dac9,5515,6259,7688,833808
479,dac12,11652,26113,20304,1293436
480,dac19,3273,14217,12304,511685
481,tran4,70442,102461,132651,116835
482,Cheb4,16457,18107,22149,68121
483,sat_d,116709,89105,193468,521147
484,HV15R,144273,229946,373591,2017169
485,gupta2,18901,39008,58327,62064
486,ASIC,349787,563231,630751,682862
487,ASIC320k,193362,336301,388631,321821
488,wiki-Talk,15309,20358,31438,147602
489,com-Youtube,83205,176457,223109,1134890
490,Freescal,2810,4235,5514,3428755
491,roadNet-CA,866,1883,1996,1965206
492,delaunay23,9679,18923,21249,8388608
493,coPapersDBLP,194369,377862,531552,540486
494,dc1,70442,102461,132651,116835
495,channel,58886,106523,194389,4802000
496,as-Skitter,224486,394344,465619,1696415
497,ASIC_100k,50699,84464,105272,99340
498,dc2,70442,102461,132651,116835
499,tran5,70442,102461,132651,116835
