id,dataset,k=2,k=3,k=4,
226,sat_k80_d,3.724,3.813,3.812,
227,sat_k80,3.601,3.624,3.660,
228,sat_k80_p,2.461,2.491,2.509,
229,sat_k85_2d,3.970,4.015,4.064,
230,sat_k85_2,3.827,3.864,3.888,
231,sat_k85_2p,2.622,2.639,2.669,
232,sat_k85_3d,3.966,4.034,4.081,
233,sat_k85_3,3.820,3.871,3.868,
234,sat_k85_3p,2.633,2.647,2.672,
235,sat_k90_d,4.209,4.262,4.288,
236,sat_k90,4.052,4.100,4.122,
237,sat_k90_p,2.790,2.827,2.856,
238,sat_k95_d,4.455,4.517,4.563,
239,sat_k95,4.314,4.336,4.352,
240,sat_k95_p,2.940,2.995,3.002,
241,sat_slp_d,0.342,0.437,0.452,
242,sat_slp,0.362,0.570,0.619,
243,sat_slp_p,0.285,0.443,0.499,
244,sat_030_d,1.611,1.988,2.222,
245,sat_030,1.161,1.296,1.357,
246,sat_030_p,0.973,1.175,1.275,
247,sat_050_d,2.439,2.785,2.928,
248,sat_050,1.894,2.038,2.130,
249,sat_050_p,1.540,1.760,1.829,
250,sat_UCG-10p0_d,0.762,0.843,0.898,
251,sat_UCG-10p0,0.682,0.832,0.877,
252,sat_UCG-10p0_p,0.514,0.597,0.630,
253,sat_UCG-10p1_d,0.769,0.873,0.911,
254,sat_UCG-10p1,0.696,0.814,0.875,
255,sat_UCG-10p1_p,0.521,0.600,0.643,
256,sat_UCG-5p0_d,0.900,1.004,1.037,
257,sat_UCG-5p0,0.790,0.897,0.956,
258,sat_UCG-5p0_p,0.577,0.681,0.710,
259,sat_UR-15_d,0.793,0.867,0.887,
260,sat_UR-15,0.709,0.846,0.874,
261,sat_UR-15_p,0.535,0.626,0.639,
262,sat_UR-20_d,0.918,1.024,1.025,
263,sat_UR-20,0.803,0.932,0.934,
264,sat_UR-20_p,0.601,0.683,0.702,
265,sat_UTI_d,0.998,1.113,1.154,
266,sat_UTI,0.799,0.852,0.880,
267,sat_UTI_p,0.607,0.641,0.658,
268,sat_2.0_d,2.957,3.344,3.282,
269,sat_2.0,2.127,2.688,3.262,
270,sat_2.0_p,2.685,4.339,4.863,
271,sat_4.0-9_d,2.023,2.565,2.792,
272,sat_4.0-9,2.041,3.248,3.375,
273,sat_4.0-9_p,2.428,4.184,4.379,
274,192bit,0.334,0.452,0.374,
275,2cubes,0.267,0.443,0.511,
276,2D,0.077,0.098,0.106,
277,3D,0.854,1.314,1.526,
278,ABACUS,0.052,0.073,0.081,
279,af23560,0.068,0.105,0.127,
280,af_shell,0.691,0.713,0.718,
281,airfoil,0.054,0.081,0.096,
282,Andrews,0.662,1.230,1.317,
283,appu,2.270,2.536,2.471,
284,as-22,0.136,0.227,0.193,
285,astro,0.182,0.340,0.273,
286,atmos,1.963,2.059,2.129,
287,av41092,0.211,0.276,0.324,
288,barrier,0.322,0.451,0.492,
289,Baumann,0.185,0.247,0.271,
290,bayer04,0.053,0.082,0.089,
291,bbmat,0.148,0.276,0.338,
292,bcsstk,0.058,0.083,0.094,
293,Ben,0.454,0.468,0.481,
294,bibd,0.082,0.102,0.094,
295,bips,0.047,0.062,0.067,
296,bloweya,0.070,0.091,0.091,
297,bundle,0.079,0.115,0.114,
298,c-55,0.226,0.351,0.379,
299,c-61,0.139,0.228,0.217,
300,c-64,0.536,0.706,1.028,
301,CondMat,0.185,0.299,0.290,
302,cage10,0.191,0.347,0.340,
303,ccc,0.129,0.245,0.361,
304,cfd,0.206,0.347,0.395,
305,Chem97Zt,0.040,0.047,0.051,
306,circuit,0.085,0.124,0.136,
307,ckt,0.098,0.137,0.141,
308,cnr,0.363,0.491,0.548,
309,conf5_4,0.177,0.316,0.341,
310,copter,0.120,0.214,0.242,
311,coupled,0.128,0.206,0.210,
312,crash,0.184,0.211,0.228,
313,cryg,0.045,0.065,0.074,
314,crystk,0.111,0.180,0.195,
315,d_pretok,0.280,0.345,0.373,
316,dac11,1.287,1.431,1.503,
317,dac14,0.871,1.044,1.108,
318,dac16,1.033,1.158,1.165,
319,dac2,1.446,1.722,1.762,
320,dac3,1.390,1.712,1.781,
321,dac6,1.434,1.746,1.729,
322,dac7,1.967,2.280,2.315,
323,delta,0.123,0.258,0.310,
324,denormal,0.115,0.135,0.146,
325,dict,0.111,0.267,0.240,
326,diel,1.559,1.654,1.720,
327,cova2,0.102,0.123,0.137,
328,ecl32,0.150,0.262,0.308,
329,Emilia,2.188,2.312,2.372,
330,epb1,0.047,0.068,0.078,
331,ESOC,3.564,7.244,5.716,
332,Eternity,0.595,0.821,0.881,
333,ex19,0.048,0.074,0.088,
334,F2,0.313,0.423,0.448,
335,fd18,0.052,0.080,0.095,
336,fem,0.263,0.389,0.412,
337,finan,0.112,0.169,0.194,
338,flower,0.310,0.462,0.493,
339,foldoc,0.176,0.217,0.243,
340,Franz,1.002,0.986,1.312,
341,G2,0.200,0.231,0.252,
342,g7jac,0.083,0.135,0.150,
343,garon,0.057,0.089,0.098,
344,gearbox,0.377,0.418,0.431,
345,gemat,0.042,0.055,0.062,
346,graphics,0.052,0.066,0.075,
347,gyro,0.087,0.127,0.149,
348,H2O,1.642,2.954,2.880,
349,HEP,0.348,0.723,0.684,
350,HTC,0.403,0.552,0.578,
351,hvdc1,0.053,0.065,0.073,
352,IG5,0.873,2.387,2.429,
353,Ill,0.081,0.134,0.146,
354,interp,0.140,0.161,0.171,
355,IMDB,4.997,7.488,7.800,
356,ibm01,0.071,0.112,0.117,
357,ibm02,0.120,0.169,0.196,
358,ibm03,0.122,0.193,0.203,
359,ibm04,0.117,0.203,0.227,
360,ibm05,0.173,0.263,0.291,
361,ibm06,0.146,0.231,0.256,
362,ibm07,0.163,0.270,0.301,
363,ibm08,0.197,0.299,0.334,
364,ibm09,0.147,0.239,0.249,
365,ibm10,0.207,0.307,0.346,
366,ibm11,0.185,0.303,0.325,
367,ibm12,0.230,0.378,0.402,
368,ibm13,0.201,0.348,0.359,
369,ibm14,0.345,0.509,0.543,
370,ibm15,0.364,0.547,0.568,
371,ibm16,0.396,0.553,0.621,
372,kim1,0.079,0.106,0.121,
373,kkt,3.874,4.507,4.546,
374,duct3D,0.310,0.504,0.567,
375,lhr14,0.055,0.079,0.091,
376,li,0.322,0.637,0.683,
377,tissue,0.056,0.076,0.085,
378,Lin,0.420,0.515,0.556,
379,lp_nug,0.503,0.547,0.666,
380,lp_pds,0.173,0.248,0.264,
381,lung,0.109,0.113,0.119,
382,m14b,0.391,0.493,0.544,
383,mac,0.267,0.341,0.376,
384,Maragal,0.321,0.564,0.431,
385,mc2depi,0.520,0.547,0.555,
386,mixtank,0.317,0.581,0.604,
387,mono,0.505,0.706,0.777,
388,mri1,0.124,0.142,0.146,
389,msc,0.119,0.179,0.200,
390,msdoor,0.802,0.826,0.833,
391,mult_dcop,0.121,0.191,0.182,
392,nasasrb,0.124,0.146,0.166,
393,nd12k,2.377,3.588,3.722,
394,net100,1.489,2.559,2.000,
395,nopoly,0.042,0.061,0.068,
396,actors,1.577,2.876,2.749,
397,www,0.244,0.349,0.354,
398,obstclae,0.069,0.088,0.098,
399,olafu,0.076,0.115,0.118,
400,opt1,0.146,0.220,0.237,
401,Oregon,0.084,0.132,0.129,
402,p2p,0.123,0.145,0.154,
403,para,0.424,0.544,0.571,
404,parabolic,0.592,0.613,0.624,
405,Pd,0.022,0.026,0.028,
406,pdb,0.266,0.412,0.421,
407,pds,0.457,0.614,0.674,
408,pesa,0.044,0.062,0.070,
409,PGP,0.063,0.100,0.093,
410,pkustk,0.232,0.288,0.295,
411,poisson3D,0.376,0.613,0.697,
412,poli3,0.045,0.057,0.059,
413,powersim,0.039,0.056,0.059,
414,pre2,0.893,1.024,1.061,
415,Pres,0.073,0.112,0.130,
416,psse2,0.046,0.059,0.062,
417,qa8fk,0.182,0.331,0.403,
418,rajat,0.090,0.119,0.131,
419,Reuters,0.630,0.650,0.732,
420,RFdevice,0.155,0.226,0.248,
421,rgg,0.314,0.330,0.340,
422,rim,0.077,0.121,0.136,
423,rma,0.120,0.144,0.149,
424,Rucci,0.942,1.071,1.081,
425,s4dkt,0.150,0.169,0.180,
426,scfxm,0.082,0.094,0.102,
427,scircuit,0.204,0.226,0.240,
428,shallow,0.102,0.118,0.126,
429,sherman,0.110,0.176,0.172,
430,ship,0.268,0.341,0.364,
431,shock,0.071,0.091,0.099,
432,shyy,0.102,0.112,0.123,
433,skirt,0.048,0.070,0.086,
434,sme3D,0.182,0.294,0.325,
435,soc-sign,1.141,2.175,1.735,
436,sparsine,1.936,2.769,2.759,
437,spmsrtls,0.045,0.053,0.056,
438,std1_Jac3,0.443,0.701,0.889,
439,stokes,0.081,0.104,0.119,
440,ted_A,0.053,0.079,0.082,
441,TF16,0.466,0.635,0.687,
442,thermal,0.098,0.113,0.124,
443,therm,0.121,0.138,0.149,
444,tmt,1.023,1.035,1.044,
445,tomogra,0.211,0.319,0.346,
446,torso,0.422,0.534,0.555,
447,Trec,2.048,2.938,2.702,
448,Trefe,0.937,0.842,1.154,
449,TSOPF,0.303,0.516,0.489,
450,us04,0.137,0.174,0.185,
451,usroads,0.136,0.150,0.158,
452,venkat,0.093,0.111,0.120,
453,vibro,0.211,0.341,0.356,
454,plastic,0.125,0.276,0.315,
455,rocks,0.078,0.101,0.117,
456,wave3D,0.095,0.179,0.215,
457,wathen120,0.067,0.090,0.097,
458,water,0.182,0.308,0.321,
459,wang4,0.115,0.181,0.211,
460,xenon,0.239,0.288,0.312,
461,Zhao,0.096,0.143,0.173,
462,G67,0.041,0.060,0.070,
463,af101,0.690,0.709,0.718,
464,eco1,1.122,1.116,1.135,
465,ibm18,0.426,0.645,0.653,
466,ibm17,0.451,0.697,0.762,
467,web1M,1.117,1.194,1.441,
468,nl120,8.431,8.887,9.055,
469,sat_p,12.616,20.944,21.948,
470,wbedu,9.326,10.998,10.906,
471,Stanf,0.885,1.091,1.081,
472,gene2,7.102,10.290,12.573,
473,Hamr3,1.756,1.600,1.621,
474,StocF,2.297,2.427,2.442,
475,lang,1.060,1.370,1.433,
476,kron,5.422,7.026,6.895,
477,case39,0.226,0.310,0.346,
478,dac9,1.277,1.484,1.582,
479,dac12,2.064,2.388,2.453,
480,dac19,0.753,0.943,1.023,
481,tran4,0.720,1.105,1.068,
482,Cheb4,0.302,0.375,0.386,
483,sat_d,24.590,26.483,27.688,
484,HV15R,15.638,16.024,16.268,
485,gupta2,0.576,0.873,1.037,
486,ASIC,1.128,1.605,1.508,
487,ASIC320k,0.811,1.152,1.132,
488,wiki-Talk,23.207,28.834,26.590,
489,com-Youtube,11.799,16.326,15.660,
490,Freescal,4.331,4.352,4.363,
491,roadNet-CA,1.940,1.928,1.941,
492,delaunay23,12.235,12.235,12.242,
493,coPapersDBLP,5.992,6.684,7.221,
494,dc1,0.723,1.109,1.064,
495,channel,8.454,8.584,8.663,
496,as-Skitter,9.838,13.885,13.121,
497,ASIC_100k,0.332,0.564,0.545,
498,dc2,0.741,1.113,1.080,
499,tran5,0.719,1.090,1.062,
