id,dataset,k=1,k=2,k=3,hedges
127,sat_E02F20_d,384,710,1302,10420
128,sat_E02F20,190,4849,9502,395383
129,sat_E02F20_p,223,8507,10383,395383
130,sat_E02F22_d,486,956,1343,13574
131,sat_E02F22,243,7721,15307,1301188
132,sat_E02F22_p,367,9142,20812,1301188
133,sat_gss-18_d,284,410,563,31364
134,sat_gss-18,1253,3481,2989,94269
135,sat_gss-18_p,1454,2170,3132,94269
136,sat_gss-19_d,186,389,610,31435
137,sat_gss-19,1450,2323,3376,94548
138,sat_gss-19_p,1642,2565,3242,94548
139,sat_gss-20_d,311,485,703,31503
140,sat_gss-20,1622,3056,3127,94748
141,sat_gss-20_p,1475,2590,3027,94748
142,sat_gss-22_d,276,514,616,31616
143,sat_gss-22,1515,3209,3517,95110
144,sat_gss-22_p,1947,3161,3448,95110
145,sat_k45_d,183,945,1094,163622
146,sat_k45,1089,1285,2354,488120
147,sat_k45_p,841,1151,2027,488120
148,sat_itox_d,79,548,1111,152256
149,sat_itox,31,1483,4431,441729
150,sat_itox_p,149,3414,2734,441729
151,sat_k2fix_d,3482,7007,9396,11313
152,sat_k2fix,0,40,197,305160
153,sat_k2fix_p,1665,3722,8630,305160
154,sat_manol_c10_i_d,1360,2176,3528,252516
155,sat_manol_c10_i,7236,19555,18853,750877
156,sat_manol_c10_i_p,15781,16114,30184,750877
157,sat_manol_c10_d,3645,4140,7482,433601
158,sat_manol_c10,9628,22497,27391,1291714
159,sat_manol_c10_p,12314,28184,26750,1291714
160,sat_manol_c8_d,1657,4705,4107,269048
161,sat_manol_c8,9976,19720,22671,799867
162,sat_manol_c8_p,8266,15345,19189,799867
163,sat_manol_g10_i_d,1609,3784,4775,266405
164,sat_manol_g10_i,8782,13288,16148,792175
165,sat_manol_g10_i_p,7748,14911,17773,792175
166,sat_MD5-28-1_d,739,1102,1680,8282
167,sat_MD5-28-1,4881,8099,10232,62558
168,sat_MD5-28-1_p,4181,7069,9366,62558
169,sat_MD5-28-2_d,680,1221,1686,8281
170,sat_MD5-28-2,4283,8270,9779,62554
171,sat_MD5-28-2_p,4254,7211,10282,62554
172,sat_MD5-28-4_d,680,1175,1686,8281
173,sat_MD5-28-4,4315,8131,10064,62544
174,sat_MD5-28-4_p,4027,9645,9698,62544
175,sat_MD5-29-4_d,670,1520,1674,8590
176,sat_MD5-29-4,4273,9219,9947,65312
177,sat_MD5-29-4_p,4863,9855,9547,65312
178,sat_MD5-30-4_d,632,1390,1729,8905
179,sat_MD5-30-4,4667,7839,11455,68106
180,sat_MD5-30-4_p,4538,7904,11283,68106
181,sat_MD5-30-5_d,721,1464,1764,8905
182,sat_MD5-30-5,4620,9194,10618,68103
183,sat_MD5-30-5_p,5377,11003,11211,68103
184,sat_min_d,1924,6093,11328,249327
185,sat_min,4034,29144,40203,746444
186,sat_min_p,4753,34540,44676,746444
187,sat_p30_d,3509,4252,12466,324116
188,sat_p30,5379,8940,19337,1643601
189,sat_p30_p,4284,26003,17238,1643601
190,sat_p30_NOT_d,1840,3624,3923,95456
191,sat_p30_NOT,3873,7811,11735,483561
192,sat_p30_NOT_p,4350,30832,13581,483561
193,sat_non_p30_d,3509,4252,12466,324116
194,sat_non_p30,5379,8940,19337,1643601
195,sat_non_p30_p,4284,26003,17238,1643601
196,sat_post_d,821,1423,1962,276895
197,sat_post,5236,6493,14107,1607567
198,sat_post_p,1983,7466,4886,1607567
199,sat_post-ee_d,349,724,1084,266199
200,sat_post-ee,4820,4723,6462,1575975
201,sat_post-ee_p,2470,2900,4730,1575975
202,sat_L100_d,513,2286,2908,315617
203,sat_L100,63207,156916,263510,1522583
204,sat_L100_p,76911,155502,181716,1522583
205,sat_L150_d,2142,2888,4947,486992
206,sat_L150,121741,189453,256302,2456708
207,sat_L150_p,182673,258778,316389,2456708
208,sat_L200_d,608,3954,4544,670867
209,sat_L200,166731,315631,394223,3513333
210,sat_L200_p,145077,318292,414424,3513333
211,sat_L80_d,465,2018,2407,250567
212,sat_L80,84188,108954,162996,1183233
213,sat_L80_p,61474,124830,142953,1183233
214,sat_k100_1d,674,2511,4521,1621762
215,sat_k100_1,1365,5577,7598,6356704
216,sat_k100_1p,1202,3604,9403,6356704
217,sat_k100_2d,1264,2391,2863,1621756
218,sat_k100_2,2391,9673,10791,6356692
219,sat_k100_2p,2004,4324,13082,6356692
220,sat_k70_d,701,2035,3096,1131652
221,sat_k70,4573,7593,9172,4433524
222,sat_k70_p,1192,8180,3585,4433524
223,sat_k75_d,1285,2166,2896,1213331
224,sat_k75,3945,8227,11515,4754042
225,sat_k75_p,1755,7919,16022,4754042
226,sat_k80_d,730,3866,2764,1295022
227,sat_k80,2479,9579,19835,5074584
228,sat_k80_p,1170,2454,4810,5074584
229,sat_k85_2d,1066,2822,5441,1376701
230,sat_k85_2,4061,7826,15909,5395102
231,sat_k85_2p,1182,4742,3597,5395102
232,sat_k85_3d,1066,2833,5432,1376701
233,sat_k85_3,4061,7826,15909,5395102
234,sat_k85_3p,1182,4742,3597,5395102
235,sat_k90_d,669,3182,7747,1458392
236,sat_k90,1472,4918,8814,5715644
237,sat_k90_p,1266,2390,3641,5715644
238,sat_k95_d,854,3051,4683,1540071
239,sat_k95,3956,4823,15626,6036162
240,sat_k95_p,1240,2361,3602,6036162
241,sat_slp_d,1125,3709,4178,94998
242,sat_slp,3912,9631,18074,302862
243,sat_slp_p,3736,10672,17518,302862
244,sat_030_d,370,1029,1876,361750
245,sat_030,14025,27733,45007,1934720
246,sat_030_p,15113,51804,72794,1934720
247,sat_050_d,740,2099,1726,602670
248,sat_050,13197,53825,55289,3224280
249,sat_050_p,13685,52623,84012,3224280
250,sat_UCG-10p0_d,1257,5259,4862,199304
251,sat_UCG-10p0,4146,10767,17767,1005834
252,sat_UCG-10p0_p,9318,16145,22203,1005834
253,sat_UCG-10p1_d,1880,4097,5426,200003
254,sat_UCG-10p1,4821,12662,30463,1019221
255,sat_UCG-10p1_p,7742,21305,21658,1019221
256,sat_UCG-5p0_d,2314,5974,6611,224587
257,sat_UCG-5p0,10114,19242,21825,1190673
258,sat_UCG-5p0_p,9083,20459,23681,1190673
259,sat_UR-15_d,2995,5415,6876,199996
260,sat_UR-15,11446,18380,22830,1019200
261,sat_UR-15_p,11461,22871,25838,1019200
262,sat_UR-20_d,3364,5180,8256,224569
263,sat_UR-20,13568,23275,27836,1190619
264,sat_UR-20_p,15164,31724,34304,1190619
265,sat_UTI_d,297,602,812,260342
266,sat_UTI,1519,6182,7639,1391257
267,sat_UTI_p,935,3155,6160,1391257
268,sat_2.0_d,2376,3344,5325,151669
269,sat_2.0,86725,270039,321533,2465731
270,sat_2.0_p,107679,302520,342689,2465731
271,sat_4.0-9_d,1544,2383,7562,96177
272,sat_4.0-9,120037,218795,227823,1814189
273,sat_4.0-9_p,106003,243074,346006,1814189
274,192bit,10049,21310,27942,13691
275,2cubes,4200,12484,14387,101492
276,2D,1025,2235,2330,54019
277,3D,7099,24031,24941,292008
278,ABACUS,673,697,1066,23412
279,af23560,822,1360,3331,23560
280,af_shell,5060,6240,9200,504855
281,airfoil,407,721,1454,14214
282,Andrews,5610,12138,12856,60000
283,appu,13869,27898,41632,14000
284,as-22,797,1483,2248,22963
285,astro,4174,8678,11735,16046
286,atmos,19927,49536,59732,1270432
287,av41092,1182,3370,3060,41092
288,barrier,8979,17490,22938,113076
289,Baumann,2744,4318,6890,112211
290,bayer04,85,203,284,20545
291,bbmat,1196,2950,4251,38744
292,bcsstk,540,1083,1823,13992
293,Ben,2010,3648,5502,245874
294,bibd,1003,1825,2596,1176
295,bips,75,388,326,15066
296,bloweya,5038,8044,8742,30004
297,bundle,1253,2766,4598,10581
298,c-55,4465,8387,9276,32780
299,c-61,2754,5022,5440,43618
300,c-64,1194,7859,12347,51035
301,CondMat,5669,10082,13516,23133
302,cage10,2491,5396,6767,11397
303,ccc,75,4275,7625,49152
304,cfd,2316,4340,7709,70656
305,Chem97Zt,35,72,75,2541
306,circuit,1347,2487,4548,12127
307,ckt,176,2616,2459,49702
308,cnr,51,229,1114,247501
309,conf5_4,0,9441,16110,49152
310,copter,1100,4162,3548,17222
311,coupled,2105,3969,4710,11341
312,crash,2634,4758,7526,160000
313,cryg,224,492,751,10000
314,crystk,1121,2330,3818,13965
315,d_pretok,3206,11548,12430,182730
316,dac11,2237,6221,7249,935731
317,dac14,16190,11078,20857,619815
318,dac16,11067,17525,20071,697458
319,dac2,6328,15570,16780,990899
320,dac3,3372,11683,14780,898001
321,dac6,5739,8176,18772,1006629
322,dac7,2631,6639,10755,1340418
323,delta,675,6575,5622,68600
324,denormal,1272,2874,3690,89400
325,dict,0,817,2951,39327
326,diel,5174,21870,25186,607232
327,cova2,1171,3272,3549,65025
328,ecl32,2493,4886,6522,51993
329,Emilia,27009,69285,84297,923136
330,epb1,231,546,869,14734
331,ESOC,176807,296018,422085,327062
332,Eternity,1058,1866,4043,7362
333,ex19,0,593,360,12005
334,F2,2982,7652,7985,71505
335,fd18,165,422,797,16428
336,fem,3744,6961,9323,74062
337,finan,156,447,407,74752
338,flower,5118,9005,13238,27693
339,foldoc,7005,13113,16760,13356
340,Franz,23943,50199,54864,47104
341,G2,791,1517,2252,150102
342,g7jac,856,1772,2478,11790
343,garon,812,1262,2672,13535
344,gearbox,1723,5998,8514,153746
345,gemat,71,224,365,4929
346,graphics,558,1464,1518,29493
347,gyro,321,1095,1032,17361
348,H2O,13952,31399,41836,67024
349,HEP,4411,13602,15340,24541
350,HTC,1983,8955,16291,226340
351,hvdc1,113,285,504,24842
352,IG5,0,16423,17755,30162
353,Ill,1312,2424,3126,20896
354,interp,946,2264,2691,232485
355,IMDB,25333,81631,79112,303617
356,ibm01,317,841,987,14111
357,ibm02,401,960,1566,19584
358,ibm03,1430,2269,3561,27401
359,ibm04,597,1458,2418,31970
360,ibm05,2397,6193,6001,28446
361,ibm06,1104,2631,2759,34826
362,ibm07,1817,3059,3778,48117
363,ibm08,1303,2590,3664,50513
364,ibm09,1128,2770,3139,60902
365,ibm10,2004,4130,5297,75196
366,ibm11,1267,2530,4341,81454
367,ibm12,2389,4772,5959,77240
368,ibm13,1444,3676,3514,99666
369,ibm14,3457,5639,7322,152772
370,ibm15,3981,10250,8367,186608
371,ibm16,3167,5735,7655,190048
372,kim1,1254,2568,2734,38415
373,kkt,15505,56341,39907,2063494
374,duct3D,3505,7693,12806,67173
375,lhr14,174,570,372,14270
376,li,3463,8936,13569,22695
377,tissue,626,1190,1388,29282
378,Lin,6960,12394,16583,256000
379,lp_nug,12825,24958,33175,15240
380,lp_pds,1113,2893,4387,33798
381,lung,28,120,124,109460
382,m14b,2039,6335,9771,214765
383,mac,402,1333,1616,206500
384,Maragal,2510,4544,6410,21251
385,mc2depi,1820,3012,4336,525825
386,mixtank,4108,14506,13149,29957
387,mono,11031,24923,31284,169410
388,mri1,561,1248,1300,65536
389,msc,1785,3729,5133,10848
390,msdoor,2128,4739,6006,415863
391,mult_dcop,11865,19655,25103,25187
392,nasasrb,934,3176,5381,54870
393,nd12k,12667,26531,38423,36000
394,net100,10294,33496,32082,29920
395,nopoly,72,229,210,10774
396,actors,12372,26343,28826,383640
397,www,13,796,732,137941
398,obstclae,420,1229,1382,40000
399,olafu,947,2461,3467,16146
400,opt1,1980,5568,5828,15449
401,Oregon,482,835,1561,11174
402,p2p,3664,6898,9142,6221
403,para,11045,17812,25524,153226
404,parabolic,1374,3320,5684,525825
405,Pd,0,0,0,4371
406,pdb,2940,5243,7004,36417
407,pds,1192,4420,5110,142596
408,pesa,109,404,322,11738
409,PGP,440,1208,1206,10680
410,pkustk,3114,6780,13812,87804
411,poisson3D,5245,11716,16729,85623
412,poli3,108,321,462,16955
413,powersim,56,197,320,15838
414,pre2,4721,9389,15645,659033
415,Pres,646,2028,1970,14822
416,psse2,150,380,506,28634
417,qa8fk,968,5067,8425,66127
418,rajat,40,241,327,51032
419,Reuters,5574,11782,14611,13314
420,RFdevice,2118,3641,5690,74104
421,rgg,1294,3400,2846,262141
422,rim,544,2111,1817,22560
423,rma,534,2081,2549,46835
424,Rucci,56507,113110,118625,1977885
425,s4dkt,1458,3363,5793,90449
426,scfxm,991,1892,2039,37980
427,scircuit,64,476,1289,170998
428,shallow,794,1753,2119,81920
429,sherman,6374,10609,17945,18510
430,ship,1584,5496,7977,34920
431,shock,407,1206,1581,36476
432,shyy,339,906,1083,76480
433,skirt,60,172,110,12598
434,sme3D,1068,7236,7308,29067
435,soc-sign,1405,13977,14383,95318
436,sparsine,20498,37476,50099,50000
437,spmsrtls,120,1261,348,29995
438,std1_Jac3,1449,5618,3930,21982
439,stokes,976,1699,3155,49666
440,ted_A,138,812,600,10605
441,TF16,5575,12302,17679,15437
442,thermal,354,1351,1842,82654
443,therm,927,828,2105,102158
444,tmt,2414,9638,7389,917825
445,tomogra,3514,6015,8159,45908
446,torso,7994,12568,18104,259156
447,Trec,3079,5558,8432,3159
448,Trefe,17375,36293,47650,20000
449,TSOPF,14083,24955,27200,30798
450,us04,91,170,276,163
451,usroads,244,412,792,129164
452,venkat,888,1860,2496,62424
453,vibro,2933,7292,8742,12328
454,plastic,1773,4201,5742,32769
455,rocks,482,2796,3048,37762
456,wave3D,769,1467,2401,21036
457,wathen120,929,1791,2726,36441
458,water,4670,7363,9952,60740
459,wang4,2003,4169,5656,26068
460,xenon,4213,11295,12555,157464
461,Zhao,728,1606,2425,33861
462,G67,0,475,477,10000
463,af101,4405,6835,11110,503625
464,eco1,2899,4304,7675,1000000
465,ibm18,2385,4392,5836,201920
466,ibm17,3080,7592,8568,189581
467,web1M,624,3603,3556,1000005
468,nl120,98010,178681,225383,3542400
469,sat_p,225383,225383,225383,0
470,wbedu,13853,58006,81358,6920306
471,Stanf,216,498,2926,261588
472,gene2,12687,25627,37915,14340
473,Hamr3,2573,8465,18279,1447360
474,StocF,7992,34392,24001,1465137
475,lang,21286,35180,48239,399130
476,kron,17055,40373,56913,55321
477,case39,12734,22176,33363,40216
478,dac9,4504,6140,10528,833808
479,dac12,9848,16430,21318,1293436
480,dac19,3082,38428,12421,511685
481,tran4,55401,120772,93931,116835
482,Cheb4,1426,5673,3268,68121
483,sat_d,15394,23366,32498,521147
484,HV15R,70635,259469,293552,2017169
485,gupta2,34403,52391,64257,62064
486,ASIC,341886,657895,640654,682862
487,ASIC320k,174996,300203,361491,321821
488,wiki-Talk,8705,12769,18161,147602
489,com-Youtube,83205,176457,223109,1134890
490,Freescal,2881,3932,4853,3428755
491,roadNet-CA,573,1250,1728,1965206
492,delaunay23,9123,15780,21647,8388608
493,coPapersDBLP,205244,397934,561979,540486
494,dc1,55401,120772,93931,116835
495,channel,28343,112361,95837,4802000
496,as-Skitter,178517,350915,369261,1696415
497,ASIC_100k,50699,84464,105272,99340
498,dc2,55401,120772,93931,116835
499,tran5,55401,120772,93931,116835
